"","GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted"
"2022-01-03",145.054992675781,145.850997924805,143.712997436523,144.991500854492,28646000,143.904190063477
"2022-01-04",145.39599609375,146.485000610352,143.716506958008,144.399505615234,28400000,143.316635131836
"2022-01-05",144.419998168945,144.499496459961,137.688003540039,137.774993896484,54618000,136.741821289062
"2022-01-06",136.998504638672,139.940002441406,136.558502197266,137.747497558594,37348000,136.714538574219
"2022-01-07",138.145492553711,138.448501586914,135.766494750977,137.016998291016,29760000,135.989486694336
"2022-01-10",135.078002929688,138.81950378418,133.164505004883,138.669494628906,44408000,137.629608154297
"2022-01-11",138.00700378418,140.216003417969,136.692504882812,139.735992431641,28730000,138.688095092773
"2022-01-12",141.149993896484,142.608001708984,140.69450378418,141.43049621582,26108000,140.369903564453
"2022-01-13",141.539993286133,142.850006103516,138.408996582031,138.587005615234,31436000,137.547729492188
"2022-01-14",137.078994750977,140.742004394531,136.998504638672,139.480499267578,29662000,138.434524536133
"2022-01-18",136.175003051758,137.131500244141,135.438507080078,135.998001098633,34872000,134.978149414062
"2022-01-19",136.523498535156,137.959503173828,135.015502929688,135.116500854492,28648000,134.103240966797
"2022-01-20",136.25,137.626007080078,132.964492797852,133.307495117188,29908000,132.307815551758
"2022-01-21",132.593505859375,134.865493774414,130.086502075195,130.351501464844,55652000,129.373977661133
"2022-01-24",125.977996826172,131.203002929688,124.5,130.804000854492,76622000,129.823089599609
"2022-01-25",128.740005493164,129.399002075195,126.500503540039,126.934997558594,46960000,125.983100891113
"2022-01-26",131.119003295898,133,127.141998291016,129.233001708984,49130000,128.263885498047
"2022-01-27",131.304000854492,132.652496337891,128.932495117188,129.005004882812,31950000,128.03759765625
"2022-01-28",129.658996582031,133.356506347656,128.485000610352,133.350997924805,34362000,132.350982666016
"2022-01-31",134.162002563477,135.473007202148,132.209503173828,135.303497314453,39986000,134.288833618164
"2022-02-01",137.594497680664,137.792999267578,134.368499755859,137.643997192383,68644000,136.611801147461
"2022-02-02",151.25,151.546493530273,145.522506713867,148,123200000,146.890167236328
"2022-02-03",145.705505371094,149.675003051758,142.665496826172,143.089996337891,71518000,142.016952514648
"2022-02-04",143.44450378418,144.875,140.514999389648,143.292999267578,57998000,142.218414306641
"2022-02-07",144.25,144.25,138.899993896484,139.20100402832,54974000,138.157119750977
"2022-02-08",139.026504516602,140,137.014007568359,139.399002075195,54284000,138.353637695312
"2022-02-09",140.963500976562,142.524505615234,140.186996459961,141.591995239258,40144000,140.530197143555
"2022-02-10",139.703506469727,141.484497070312,137.957000732422,138.619995117188,39330000,137.580490112305
"2022-02-11",138.600006103516,139.156494140625,133.399993896484,134.282501220703,39958000,133.275512695312
"2022-02-14",133.256500244141,136.300003051758,133.256500244141,135.526000976562,34302000,134.509674072266
"2022-02-15",137.570495605469,138.108505249023,135.821502685547,136.608505249023,26680000,135.584075927734
"2022-02-16",136.646499633789,138.085998535156,134.92399597168,137.738006591797,25022000,136.705093383789
"2022-02-17",136.24299621582,137.113494873047,132.478500366211,132.539001464844,38950000,131.545074462891
"2022-02-18",133.466995239258,134.070007324219,130.196502685547,130.40299987793,45620000,129.425094604492
"2022-02-22",129.837997436523,132.18049621582,128.223495483398,129.813507080078,44990000,128.840026855469
"2022-02-23",131.648498535156,132.050994873047,127.527496337891,127.587997436523,32786000,126.631210327148
"2022-02-24",124.953498840332,133,124.953498840332,132.690994262695,54456000,131.695938110352
"2022-02-25",133.552001953125,135.271499633789,131.751495361328,134.459503173828,36406000,133.451171875
"2022-02-28",133.050003051758,135.751495361328,132.592498779297,135.057006835938,38864000,134.044204711914
